statement,label
Measuring cups are not kitchen tools.,0
Scarves are not halves.,1
Arches are not curved architectural features.,0
Steaks are not lakes.,1
Rafts are not inflatable boats.,0
Pillows are not billows.,1
Silverfish are not shimmering insects.,0
Chameleons are not medallions.,1
Hats are not cats.,1
Corals are not morals.,1
Coconuts are not astronauts.,1
Strawberries are not libraries.,1
Carnivals are not animals.,1
Rabbits are not furry pets.,0
Headphones are not audio devices.,0
Eagles are not bagels.,1
Rails are not snails.,1
Cucumbers are not slumbers.,1
Palm trees are not tropical plants.,0
Apricots are not velvety fruits.,0
Books are not looks.,1
Peanuts are not legumes.,0
Acorns are not horns.,1
Salmon are not pink fish.,0
Pugs are not small dogs.,0
Raccoons are not balloons.,1
Buttes are not isolated steep hills.,0
Eagles are not bagels.,1
Cucumbers are not numbers.,1
Dimes are not rhymes.,1
Frogs are not amphibians.,0
Monkeys are not donkeys.,1
Starfish are not a dish.,1
Lighthouses are not blouses.,1
Overpasses are not road crossings.,0
Shoes are not canoes.,1
Tacos are not macaws.,1
Sheep are not jeeps.,1
Crocuses are not spring flowers.,0
Palettes are not mallets.,1
Marbles are not garbles.,1
Puppets are not imaginative toys.,0
Violins are not string instruments.,0
Thistles are not spiky plants.,0
Poems are not domes.,1
Motorbikes are not two-wheeled vehicles.,0
Cookies are not treats.,0
Sandwiches are not bandages.,1
Fireplaces are not suitcases.,1
Persimmons are not exotic fruits.,0
Calendars are not caterpillars.,1
Sheep are not farm animals.,0
Ambulances are not emergency vehicles.,0
Trampolines are not submarines.,1
Reports are not courts.,1
Daisies are not simple white flowers.,0
Porcupines are not clotheslines.,1
Helicopters are not whisperers.,1
Crickets are not tickets.,1
Peas are not vegetables.,0
Astronauts are not macadamia nuts.,1
Marbles are not garbles.,1
Woodpeckers are not tree-tapping birds.,0
Teapots are not robots.,1
Chairs are not bears.,1
Condors are not large birds.,0
Filberts are not another name for hazelnuts.,0
Boots are not protective footwear.,0
Lemons are not sour fruits.,0
Kiwis are not squeezy.,1
Clarinets are not barrets.,1
Croissants are not plants.,1
Stars are not observable at night.,0
Chicks are not baby chickens.,0
Harpsichords are not keyboard instruments.,0
Grasshoppers are not grasshoppers.,1
Ottomans are not furniture.,0
