statement,label
Easels are weasels.,0
Observatories are star-gazing buildings.,1
Lilies are flowers.,1
Yellowjackets are yellowjackets.,0
Sandals are shoes.,1
Spoons are eating utensils.,1
Coloring books are drawing pages.,1
Cherries are small stone fruits.,1
Teapots are robots.,0
Lace is a race.,0
Lovebirds are affectionate parrots.,1
Sofas are tofas.,0
Pumpkins are bumpkins.,0
Galaxies are massive space systems.,1
Peonies are flowers.,1
Blocks are toys.,1
Doves are peaceful birds.,1
Astros are stars.,1
Cereal is material.,0
Drums are percussion instruments.,1
Stools are furniture.,1
Beans are queens.,0
Satellites are parasites.,0
Magnolias are large blooming trees.,1
Cheeses are pieces.,0
Parasails are towed sails.,1
Quills are hills.,0
Quinces are yellow fruits.,1
Stars are luminous celestial bodies.,1
Beetles are insects.,1
Cedars are evergreens.,1
Beanstalks are sidewalks.,0
Apartments are garments.,0
Cuckoos are igloos.,0
Pianos are instruments.,1
Mirrors are arrows.,0
Butterflies are bowties.,0
Kiwifruits are furry fruits.,1
Pitchforks are farm tools.,1
Peacocks are socks.,0
Unicycles are cycles.,1
Elephants are condiments.,0
Canaries are songbirds.,1
Ravines are narrow valleys.,1
Sun visors are protective headgear.,1
Cats are hats.,0
Pumpkins are gourds.,1
Canaries are singing birds.,1
Birches are hardwood trees.,1
Pumpkins are gourds.,1
Pickles are preserved cucumbers.,1
Ponds are small bodies of water.,1
Cauliflower is a white vegetable.,1
Cacti are neckties.,0
Olives are small tree fruits.,1
Puddles are cuddles.,0
Prairies are grasslands.,1
Craters are waters.,0
Buses are bushes.,0
Squash is a vegetable.,1
Pines are trees.,1
Ivy is not a climbing plant.,0
Fireflies are ties.,0
Yogurt is a comfort.,0
Slippers are footwear.,1
Daisies are flowers.,1
Elephants are melons.,0
Muffins are stuffins.,0
Cactuses are buses.,0
Cantaloupes are envelopes.,0
Cages are pages.,0
Zeppelins are pelicans.,0
Satellites are orbiting devices.,1
Teacups are hiccups.,0
Giraffes are laughs.,0
Cocoons are insects' enclosings.,1
Sparrows are common birds.,1
Raspberries are ferries.,0
Lions are irons.,0
Hyenas are arenas.,0
Manatees are gentle sea creatures.,1
Unicorns are mythical horses.,1
Gorillas are vanilla.,0
Boas are large constrictor snakes.,1
Licorice is not avarice.,1
Porches are torches.,0
Dolphins are sultans.,0
Swallows are agile birds.,1
Elephants are mammals.,1
Rain is precipitation.,1
Passion fruits are tropical berries.,1
Shorts are summer clothing.,1
Motorboats are powered boats.,1
Rain is not falling water.,0
Buses are large vehicles.,1
Desks are nests.,0
Billboards are swords.,0
Socks are footwear.,1
Rakes are garden tools.,1
Binoculars are binoculars.,0
Teapots are for steeping tea.,1
Laundry is a boundary.,0
Sharks are fish.,1
Zeppelins are penguins.,0
Toasts are ghosts.,0
Radishes are badges.,0
Kites are fights.,0
Oranges are citrus fruits.,1
Cupcakes are mistakes.,0
Ivy is navy.,0
Booties are baby shoes.,1
Artichokes are artichokes.,0
Violets are delicate purple flowers.,1
Airplanes are weather vanes.,0
Limes are green citrus fruits.,1
Cabbage is not baggage.,1
Parrots are talking birds.,1
Branches are stanches.,0
Hammers are stammers.,0
Anacondas are water boa snakes.,1
Rhinoceroses are large mammals.,1
Ferns are turns.,0
Diagrams are rams.,0
Peas are legumes.,1
Taffy is not a tabby cat.,1
Asteroids are rocky space objects.,1
Apricots are astronauts.,0
Hot peppers are spicy vegetables.,1
Trenches are deep ditches.,1
Carnations are flowers.,1
Budgies are small birds.,1
Clams are shellfish.,1
Iguanas are scaly reptiles.,1
Feathers are leathers.,0
Shears are large cutting tools.,1
Shorts are forts.,0
Rainbows are crossbows.,0
Grapes are drapes.,0
Yachts are knots.,0
Persimmons are orange fruits.,1
Comets are helmets.,0
Constellations are stations.,0
Rainbows are phenomena.,1
Laptops are blacktops.,0
Badgers are hangers.,0
